name,platform,year_of_release,genre,rating
Red Dead Redemption,PS3,2010,Action,M
FIFA 14,PS3,2013,Sports,E
Donkey Kong Country Returns,Wii,2010,Platform,E
Assassins Creed III,PS3,2012,Action,M
Halo: Combat Evolved,X,2001,Shooter,M
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,M
Pok\xc3\xa9mon Emerald Version,GBA,2004,Role-Playing,E
Kingdom Hearts,PS2,2002,Role-Playing,E
Pok\xc3\xa9mon Crystal Version,G,2000,Role-Playing,
Red Dead Redemption,X360,2010,Action,M
Halo 3: ODST,X360,2009,Shooter,M
Super Mario Sunshine,GC,2002,Platform,E
World of Warcraft,PC,2004,Role-Playing,T
Street Fighter II: The World Warrior,SNES,1992,Fighting,
Driver,PS,1999,Action,T
Gears of War 3,X360,2011,Shooter,M
Kinect Sports,X360,2010,Sports,E10+
Gears of War,X360,2006,Shooter,M
FIFA 15,PS4,2014,Sports,E
Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,M
Sonic the Hedgehog 2,GEN,1992,Platform,
Metal Gear Solid,PS,1998,Action,M
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,M
Final Fantasy XII,PS2,2006,Role-Playing,T
The Last of Us,PS3,2013,Action,M
LittleBigPlanet,PS3,2008,Platform,E
Resident Evil 2,PS,1998,Action,M
Call of Duty: Infinite Warfare,PS4,2016,Shooter,M
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,E10+
Tekken 2,PS,1996,Fighting,T
Grand Theft Auto V,XOne,2014,Action,M
Destiny,PS4,2014,Shooter,T
LEGO Star Wars: The Complete Saga,Wii,2007,Action,E10+
Cooking Mama,DS,2006,Simulation,E
Tetris,NES,1988,Puzzle,
Super Smash Bros.,N64,1999,Fighting,
Assassins Creed II,PS3,2009,Action,M
Assassins Creed,X360,2007,Adventure,M
Forza Motorsport 3,X360,2009,Racing,E
Super Mario Advance,GBA,2001,Platform,E
Batman: Arkham City,PS3,2011,Action,T
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,T
Mario Kart: Super Circuit,GBA,2001,Racing,E
Super Mario World,GBA,2001,Platform,
Pokemon Stadium,N64,1999,Strategy,
Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,E
Minecraft,PS3,2014,Misc,
Call of Duty: World at War,PS3,2008,Shooter,M
Tomodachi Life,3DS,2013,Simulation,E
Dr. Mario,G,1989,Puzzle,
Final Fantasy XIII,PS3,2009,Role-Playing,T
Pokemon Pinball,G,1999,Misc,
Final Fantasy IX,PS,2000,Role-Playing,T
Battlefield 1,PS4,2016,Shooter,M
New Super Mario Bros. U,WiiU,2012,Platform,E
Assassins Creed III,X360,2012,Action,M
Final Fantasy X-2,PS2,2003,Role-Playing,T
Call of Duty: Advanced Warfare,XOne,2014,Shooter,M
Donkey Kong 64,N64,1999,Platform,
Assassins Creed II,X360,2009,Action,M
Tomb Raider II,PS,1997,Action,T
Madden NFL 2004,PS2,2003,Sports,E
Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,T
Super Mario Bros. 3,GBA,2003,Platform,
Professor Layton and the Curious Village,DS,2007,Puzzle,E
Super Mario Land 3: Wario Land,G,1994,Platform,
FIFA Soccer 13,X360,2012,Action,E
Diablo III,PC,2012,Role-Playing,M
Donkey Kong Country 2: Diddys Kong Quest,SNES,1995,Platform,
Medal of Honor: Rising Sun,PS2,2003,Shooter,T
Kirbys Dream Land,G,1992,Platform,
Microsoft Flight Simulator,PC,1996,Simulation,
Guitar Hero II,PS2,2006,Misc,T
Fable III,X360,2010,Role-Playing,M
Mario & Sonic at the Olympic Games,DS,2008,Sports,
Resident Evil 5,PS3,2009,Action,M
The Legend of Zelda: Phantom Hourglass,DS,2007,Action,E
FIFA Soccer 11,PS3,2010,Sports,E
Super Mario Bros.,G,1999,Platform,
The Last of Us,PS4,2014,Action,
Resident Evil,PS,1996,Action,M
Grand Theft Auto: Vice City Stories,PSP,2006,Action,M
Tony Hawks Pro Skater,PS,1999,Sports,T
Warzone 2100,PS,1999,Strategy,
Spyro the Dragon,PS,1998,Platform,
Guitar Hero III: Legends of Rock,PS2,2007,Misc,T
Links Crossbow Training,Wii,2007,Shooter,T
Fallout 3,X360,2008,Role-Playing,M
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,
Uncharted: Drakes Fortune,PS3,2007,Action,T
Madden NFL 06,PS2,2005,Sports,E
Diddy Kong Racing,N64,1997,Racing,
Monster Hunter Freedom 3,PSP,2010,Role-Playing,
StarCraft II: Wings of Liberty,PC,2010,Strategy,T
Dr. Mario,NES,1990,Puzzle,
Assassins Creed,PS3,2007,Adventure,M
God of War III,PS3,2010,Action,M
Uncharted: The Nathan Drake Collection,PS4,2015,Action,T
Crash Team Racing,PS,1999,Racing,E
LEGO Star Wars: The Complete Saga,DS,2007,Action,E
Driver 2,PS,2000,Action,T
Batman: Arkham City,X360,2011,Action,T
The Simpsons: Hit & Run,PS2,2003,Racing,
Tony Hawks Pro Skater 2,PS,2000,Sports,T
The Lord of the Rings: The Two Towers,PS2,2002,Action,T
Tomb Raider,PS,1996,Action,T
Animal Crossing: City Folk,Wii,2008,Simulation,E
Luigis Mansion: Dark Moon,3DS,2013,Action,E
Minecraft,PS4,2014,Misc,
Halo 5: Guardians,XOne,2015,Shooter,T
The Legend of Zelda: A Link to the Past,SNES,1991,Action,
The Legend of Zelda: The Wind Waker,GC,2002,Action,E
Guitar Hero III: Legends of Rock,Wii,2007,Misc,T
Forza Motorsport 4,X360,2011,Racing,E
Splatoon,WiiU,2015,Shooter,E10+
Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,
Madden NFL 2005,PS2,2004,Sports,E
Guitar Hero III: Legends of Rock,X360,2007,Misc,T
The Legend of Zelda: Ocarina of Time,3DS,2011,Action,
Pitfall!,2600,1981,Platform,
